platform,device,suite,source,document_type,language,method,backend,status,initialization_seconds,warm_median_seconds,warm_range_seconds,warm_operation_counts,peak_process_rss_mib,pytorch_allocator_peak_mib,pytorch_allocator_peak_status,cer,cer_ns,cer_bag
macos-arm64,cpu,format,data-json.json,direct-text,,default,plain,success,,0.00027150470466883825,2.4976565676386496e-06,913;921;921,33.390625,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,data-xml.xml,direct-text,,default,plain,success,,0.00026779719807280513,3.7710515624282247e-06,926;934;940,33.59375,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,data-yaml.yaml,direct-text,,default,plain,success,,0.00026794780513918627,5.492852016644853e-06,947;927;934,33.796875,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,data-yml.yml,direct-text,,default,plain,success,,0.00026699906616862323,1.481139933137731e-06,934;937;939,34.03125,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,ebook.epub,office-web,,default,markitdown,success,,0.01382676752631579,0.0020875928049535596,19;17;19;19;19;18;17,393.03125,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,email.msg,office-web,,default,markitdown,success,,0.013729583315789474,0.0010301549707602328,18;19;19,445.34375,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,image-bmp.bmp,image,latin,docling+ocr,docling+ocr,success,18.545038292,0.386302167,0.007441833000000009,1;1;1,1636.296875,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,image-bmp.bmp,image,latin,ocr,ocrmac,success,,0.06949809375,0.004742927249999987,4;4;4,491.234375,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,image-jpeg.jpeg,image,latin,docling+ocr,docling+ocr,success,,0.399225708,0.011685292000000014,1;1;1,1638.59375,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,image-jpeg.jpeg,image,latin,ocr,ocrmac,success,,0.06691417725,0.0034997917500000086,4;4;4,1637.84375,,not-applicable-for-cpu,,,
macos-arm64,cpu,format,image-jpg.jpg,image,latin,docling+ocr,docling+ocr,success,,0.400369209,0.006401959000000013,1;1;1,1638.6875,,not-applicable-for-cpu,,,
